Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
"Portrait of a Woman, Said to Be Madame Récamier (1777–1849)",Nicolas François Dun,1812,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Nicolas Henri Jacob,1817,Male,Dressed,Unknown,LookingAt,Potrait
"Mrs. James Pulham Sr. (Frances Amys, ca. 1766–1856)",John Constable,1818,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Rudolphe Bel,1822,Male,Dressed,Unknown,LookingAt,Potrait
"Madame Jacques-Louis Leblanc (Françoise Poncelle, 1788–1839)",Jean Auguste Dominique Ingres,1823,Male,Dressed,Interior,LookingAt,Potrait
"Madame Jacques-Louis-Étienne Reizet (Colette-Désirée-Thérèse Godefroy, 1782–1850)",Anne Louis Girodet-Trioson,1823,Male,Dressed,Unknown,LookingAt,Potrait
Lady Maria Conyngham (died 1843),Sir Thomas Lawrence,1824,Male,Dressed,Outdoor,LookingAt,Potrait
Odalisque in Grisaille,Jean Auguste Dominique Ingres,1824,Male,Nude,Interior,LookingAt,Potrait
The Italian Brigand's Wife,Léon Cogniet,1825,Male,Dressed,Outdoor,LookingAway,Activity
"Portrait of a Woman, Said to Be Marie de Mautesson",François Meuret,1825,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Mikail Ivanovich Terebenev,1825,Male,Dressed,Unknown,LookingAt,Potrait
"Madame Edmond Cavé (Marie-Élisabeth Blavot, born 1810)",Jean Auguste Dominique Ingres,1826,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Continental Painter,1827,Anonymous,Dressed,Unknown,LookingAt,Potrait
"Mrs. Rufus Prime (Augusta Temple Palmer, 1807–1840)",Jean-Baptiste Isabey,1828,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,François-Théodore Rochard,1829,Male,Dressed,Unknown,LookingAt,Potrait
Henriette Sontag (1806–1854),Franz Napoleon Heigel,1830,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Etienne Bouchardy,1832,Male,Dressed,Outdoor,LookingAt,Potrait
"Madame Henri François Riesener (Félicité Longrois, 1786–1847)",Eugène Delacroix,1835,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Etienne Bouchardy,1838,Male,Dressed,Unknown,LookingAt,Potrait
Study of a Female Nude,Henri Lehmann,1840,Male,Nude,Unknown,LookingAt,Potrait
"Comtesse de La Tour-Maubourg (Marie-Louise-Charlotte-Gabrielle Thomas de Pange, 1816–1850)",Théodore Chassériau,1841,Male,Dressed,Outdoor,LookingAt,Potrait
Expectation,Jozef Israëls,1844,Male,Dressed,Interior,LookingAway,Activity
Penelope,Charles-François Marchal,1845,Male,Dressed,Interior,LookingAway,Activity
Young Woman Praying,Jean-Jacques Henner,1849,Male,Dressed,Unknown,LookingAway,Potrait
"Portrait of a Woman, Called Héloïse Abélard",Gustave Courbet,1850,Male,Dressed,Unknown,LookingAt,Potrait
"Madame Auguste Cuoq (Mathilde Desportes, 1827–1910)",Gustave Courbet,1852,Male,Dressed,Interior,LookingAt,Activity
